date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:31:47	84/84	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Oct%202019%2010:15:00%20GMT	https://lens.google.com/robots.txt		(from )
03:31:47	56093/56093	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Sep%202020%2006:15:00%20GMT	https://lens.google.com/	C:/My%20Web%20Sites/Google%20Lens/lens.google.com/index.html	(from )
03:31:47	140859/140859	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20May%202019%2019:15:00%20GMT	https://lens.google.com/static/images/facebook-share.jpg	C:/My%20Web%20Sites/Google%20Lens/lens.google.com/static/images/facebook-share.jpg	(from https://lens.google.com/)
03:31:47	138140/138140	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20May%202019%2019:15:00%20GMT	https://lens.google.com/static/images/twitter-share.jpg	C:/My%20Web%20Sites/Google%20Lens/lens.google.com/static/images/twitter-share.jpg	(from https://lens.google.com/)
03:31:48	35170/35170	---M--	200	added ('OK')	text/javascript	date:Thu,%2012%20Mar%202020%2021:45:00%20GMT	https://lens.google.com/static/js/detect.min.js?cache=536ff71	C:/My%20Web%20Sites/Google%20Lens/lens.google.com/static/js/detect.min3bcf.js	(from https://lens.google.com/)
03:31:48	189132/189132	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Sep%202020%2006:15:00%20GMT	https://lens.google.com/static/css/index.min.css?cache=c205b16	C:/My%20Web%20Sites/Google%20Lens/lens.google.com/static/css/index.min176e.css	(from https://lens.google.com/)
03:31:48	1824/1824	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2018:45:00%20GMT	https://www.gstatic.com/images/branding/product/2x/photos_64dp.png	C:/My%20Web%20Sites/Google%20Lens/www.gstatic.com/images/branding/product/2x/photos_64dp.png	(from https://lens.google.com/)
03:31:48	10031/10031	---M--	200	added ('OK')	image/png	etag:%22bf09e67fa687647c9709d92c1132a399%22	https://storage.googleapis.com/operating-anagram-8280/apple-touch-icon.png	C:/My%20Web%20Sites/Google%20Lens/storage.googleapis.com/operating-anagram-8280/apple-touch-icon.png	(from https://lens.google.com/)
03:31:53	25717/25717	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-animate.min.js	C:/My%20Web%20Sites/Google%20Lens/ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-animate.min.js	(from https://lens.google.com/)
03:31:54	4074/4074	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-touch.min.js	C:/My%20Web%20Sites/Google%20Lens/ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular-touch.min.js	(from https://lens.google.com/)
03:31:56	12983/12983	---M--	200	added ('OK')	text/javascript	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://www.gstatic.com/external_hosted/picturefill/picturefill.min.js	C:/My%20Web%20Sites/Google%20Lens/www.gstatic.com/external_hosted/picturefill/picturefill.min.js	(from https://lens.google.com/)
03:31:59	103700/103700	---M--	200	added ('OK')	text/javascript	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://www.gstatic.com/external_hosted/gsap/v1_16_1/TweenMax.min.js	C:/My%20Web%20Sites/Google%20Lens/www.gstatic.com/external_hosted/gsap/v1_16_1/TweenMax.min.js	(from https://lens.google.com/)
03:32:00	36971/36971	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Sep%202020%2006:15:00%20GMT	https://lens.google.com/howlensworks/	C:/My%20Web%20Sites/Google%20Lens/lens.google.com/howlensworks/index.html	(from https://lens.google.com/)
03:32:05	168828/168828	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular.min.js	C:/My%20Web%20Sites/Google%20Lens/ajax.googleapis.com/ajax/libs/angularjs/1.6.6/angular.min.js	(from https://lens.google.com/)
03:32:05	442689/442689	---M--	200	added ('OK')	text/javascript	date:Thu,%2012%20Mar%202020%2021:45:00%20GMT	https://lens.google.com/static/js/index.min.js?cache=0cc5681	C:/My%20Web%20Sites/Google%20Lens/lens.google.com/static/js/index.mina4d6.js	(from https://lens.google.com/)
